airline,score (max 10),reviews,links
Bassaka Air,8,9,"https://www.airlinequality.com/airline-reviews/bassaka-air"""
Batik Air,5,90,"https://www.airlinequality.com/airline-reviews/batik-air"""
Beijing Capital Airlines,6,5,"https://www.airlinequality.com/airline-reviews/beijing-capital-airlines"""
Belavia,6,45,"https://www.airlinequality.com/airline-reviews/belavia"""
Berjaya Air,8,12,"https://www.airlinequality.com/airline-reviews/berjaya-air"""
BH Air,6,9,"https://www.airlinequality.com/airline-reviews/bh-airlines"""
Bhutan Airlines,6,6,"https://www.airlinequality.com/airline-reviews/bhutan-airlines"""
Biman Bangladesh Airlines,6,93,"https://www.airlinequality.com/airline-reviews/biman-bangladesh"""
Binter Canarias,7,14,"https://www.airlinequality.com/airline-reviews/binter-canarias"""
Blu-express,4,14,"https://www.airlinequality.com/airline-reviews/bluexpress"""
Blue Air,3,142,"https://www.airlinequality.com/airline-reviews/blue-air"""
Blue Islands,6,48,"https://www.airlinequality.com/airline-reviews/blue-islands"""
Blue Panorama Airlines,2,35,"https://www.airlinequality.com/airline-reviews/blue-panorama-airlines"""
Blue1,5,27,"https://www.airlinequality.com/airline-reviews/blue1"""
Bluebird Airways,1,3,"https://www.airlinequality.com/airline-reviews/bluebird-airways"""
bmi Regional,5,58,"https://www.airlinequality.com/airline-reviews/bmi-regional"""
Boliviana de Aviacion,6,21,"https://www.airlinequality.com/airline-reviews/boliviana-de-aviacin"""
BoraJet,1,1,"https://www.airlinequality.com/airline-reviews/borajet"""
Boutique Air,3,38,"https://www.airlinequality.com/airline-reviews/boutique-air"""
Breeze Airways,3,44,"https://www.airlinequality.com/airline-reviews/breeze-airways"""
British Airways,5,3421,"https://www.airlinequality.com/airline-reviews/british-airways"""
Brussels Airlines,5,516,"https://www.airlinequality.com/airline-reviews/brussels-airlines"""
Buddha Air,5,11,"https://www.airlinequality.com/airline-reviews/buddha-air"""
Bulgaria Air,6,113,"https://www.airlinequality.com/airline-reviews/bulgaria-air"""
Buraq Air,7,1,"https://www.airlinequality.com/airline-reviews/buraq"""
Buta Airways,4,9,"https://www.airlinequality.com/airline-reviews/buta-airways"""
Camair-Co,1,2,"https://www.airlinequality.com/airline-reviews/camair-co"""
Cambodia Airways,4,2,"https://www.airlinequality.com/airline-reviews/cambodia-airways"""
Cambodia Angkor Air,4,84,"https://www.airlinequality.com/airline-reviews/cambodia-angkor-airlines"""
Cambodia Bayon Airlines,3,1,"https://www.airlinequality.com/airline-reviews/cambodia-bayon-airlines"""
Canadian North,6,7,"https://www.airlinequality.com/airline-reviews/canadian-north"""
Canaryfly,4,5,"https://www.airlinequality.com/airline-reviews/canaryfly"""
Cape Air,4,37,"https://www.airlinequality.com/airline-reviews/cape-air"""
Caribbean Airlines,5,99,"https://www.airlinequality.com/airline-reviews/caribbean-airlines"""
Carpatair,4,10,"https://www.airlinequality.com/airline-reviews/carpatair"""
Cathay Dragon,7,62,"https://www.airlinequality.com/airline-reviews/cathay-dragon"""
Cathay Pacific Airways,7,1351,"https://www.airlinequality.com/airline-reviews/cathay-pacific-airways"""
Cayman Airways,3,22,"https://www.airlinequality.com/airline-reviews/cayman-airways"""
Cebu Pacific,4,335,"https://www.airlinequality.com/airline-reviews/cebu-pacific"""
Central Mountain Air,5,11,"https://www.airlinequality.com/airline-reviews/central-mountain-air"""
China Airlines,6,433,"https://www.airlinequality.com/airline-reviews/china-airlines"""
China Eastern Airlines,5,663,"https://www.airlinequality.com/airline-reviews/china-eastern-airlines"""
China Southern Airlines,8,1956,"https://www.airlinequality.com/airline-reviews/china-southern-airlines"""
China United Airlines,4,5,"https://www.airlinequality.com/airline-reviews/china-united-airlines"""
Citilink,6,60,"https://www.airlinequality.com/airline-reviews/citilink"""
CityJet,6,100,"https://www.airlinequality.com/airline-reviews/cityjet"""
Coastal Aviation,8,4,"https://www.airlinequality.com/airline-reviews/coastal-aviation"""
Cobalt,6,18,"https://www.airlinequality.com/airline-reviews/cobalt"""
Comair,5,50,"https://www.airlinequality.com/airline-reviews/comair"""
Condor Airlines,4,385,"https://www.airlinequality.com/airline-reviews/condor-airlines"""
Conviasa,8,5,"https://www.airlinequality.com/airline-reviews/conviasa"""
Copa Airlines,4,372,"https://www.airlinequality.com/airline-reviews/copa-airlines"""
Corendon Airlines,4,40,"https://www.airlinequality.com/airline-reviews/corendon-airlines"""
Corsair,5,48,"https://www.airlinequality.com/airline-reviews/corsair"""
Croatia Airlines,6,87,"https://www.airlinequality.com/airline-reviews/croatia-airlines"""
CSA Czech Airlines,5,227,"https://www.airlinequality.com/airline-reviews/csa-czech-airlines"""
Cubana Airlines,4,102,"https://www.airlinequality.com/airline-reviews/cubana-airlines"""
Cyprus Airways,3,10,"https://www.airlinequality.com/airline-reviews/cyprus-airways"""
Danish Air Transport,7,5,"https://www.airlinequality.com/airline-reviews/danish-air"""
Darwin Airline,6,40,"https://www.airlinequality.com/airline-reviews/darwin"""
Delta Air Lines,4,2623,"https://www.airlinequality.com/airline-reviews/delta-air-lines"""
Dimonim Air,7,1,"https://www.airlinequality.com/airline-reviews/dimonim-air"""
Dniproavia,8,8,"https://www.airlinequality.com/airline-reviews/dniproavia"""
Dragonair,7,174,"https://www.airlinequality.com/airline-reviews/dragonair"""
Druk Air,8,19,"https://www.airlinequality.com/airline-reviews/druk-air"""
Dynamic International Airways,1,1,"https://www.airlinequality.com/airline-reviews/dynamic-international-airways"""
Eastar Jet,5,14,"https://www.airlinequality.com/airline-reviews/eastarjet"""
Eastern Airlines,1,2,"https://www.airlinequality.com/airline-reviews/eastern-airlines"""
Eastern Airways,5,61,"https://www.airlinequality.com/airline-reviews/eastern-airways"""
Easyfly,5,7,"https://www.airlinequality.com/airline-reviews/easyfly"""
easyJet,5,1385,"https://www.airlinequality.com/airline-reviews/easyjet"""
Edelweiss Air,6,95,"https://www.airlinequality.com/airline-reviews/edelweiss-air"""
Egyptair,5,419,"https://www.airlinequality.com/airline-reviews/egyptair"""
El Al Israel Airlines,5,278,"https://www.airlinequality.com/airline-reviews/el-al-israel-airlines"""
Ellinair,8,14,"https://www.airlinequality.com/airline-reviews/ellinair"""
Emirates,5,2196,"https://www.airlinequality.com/airline-reviews/emirates"""
Eritrean Airlines,6,6,"https://www.airlinequality.com/airline-reviews/eritrean-airlines"""
Ernest Airlines,3,4,"https://www.airlinequality.com/airline-reviews/ernest-airlines"""
Estonian Air,6,44,"https://www.airlinequality.com/airline-reviews/estonian-air"""
Ethiopian Airlines,5,535,"https://www.airlinequality.com/airline-reviews/ethiopian-airlines"""
Etihad Airways,4,1632,"https://www.airlinequality.com/airline-reviews/etihad-airways"""
euroAtlantic Airways,2,14,"https://www.airlinequality.com/airline-reviews/euroatlantic-airways"""
Europe Airpost,9,1,"https://www.airlinequality.com/airline-reviews/europe-airpost"""
Eurowings,3,394,"https://www.airlinequality.com/airline-reviews/eurowings"""
EVA Air,8,606,"https://www.airlinequality.com/airline-reviews/eva-air"""
