header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Never, never, never again""",1,2022-03-28,"Not Verified |  Never, never, never again. Worst management with short notice cancellation. They cancelled the flight a few hours before the travel. I asked for an alternate date, which they didn't agree to. Finally after fighting so much, they gave me a next day connecting flight. I ended up with 16 hours of travel instead of 3.45 hrs. I will never take this flight again! Moreover I had to unload my entire baggage during transit and move from one terminal to another!",False,,Solo Leisure,Economy Class,Kochi to Mumbai via Abu Dhabi,March 2022,2,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""avoid Go First at any cost""",1,2022-03-27,"Go first is simply the most unreliable airline, they may cancel your flight even at the last day without any consent. Once cancelled they will give you 2 options either book their another flight, which as per the policy can be between 3-4 days from your flight time (it will be a connecting flight always) or just take the refund (Which will rip you off your money, because now you will be buying new tickets at a very high rates). Their customer support is even worst. They may show you cheaper flights in the beginning but what may come next is unpredictable. Please avoid Go First at any cost.",True,,Family Leisure,Economy Class,Goa to Delhi,March 2022,,,,1,1,,,False
"""Worst airline with highest cancellation rate""",1,2022-03-27,Worst airline with highest cancellation rate. They cancel flights two days before scheduled travel which causes us to buy tickets at a higher price from other lines. Will never repeat the same mistake of booking Go First.,True,A320,Family Leisure,Economy Class,Srinagar to Sharjah,March 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""cancelled our flights three times with very short notice""",1,2022-03-21,"I don’t usually write reviews but I want to spare someone else from a loss similar to what we experienced. Go First cancelled our flights three times with very short notice. We struggled to adjust our plans and reschedule the flights, only for them to be cancelled by Go First again. We had to pay hundreds of dollars in extra hotel fees. In the end we lost more money when we had to book our flights with a different airline. The airline was only willing to refund us 5,000INR when we paid 1,67,944INR for our tickets. Please save yourself from being robbed and stay away from this airline! They should not be in business and I do not expect that they will be for much longer.",True,,Family Leisure,Economy Class,Delhi to Phuket,March 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Very bad experience""",1,2022-03-16,"Not Verified | Surat to Kolkata. Very poor bad service. There is no knowledge in time. If you want to waste your time then book Go First. Such a very poor, bad, service. Flight quality too low. Very bad experience.",False,,Solo Leisure,Economy Class,Surat to Kolkata,March 2022,1,1,"<span class=""star fill"">1</span>",1,2,,1,False
"""internal processes needs a complete revamp""",1,2022-03-16,"I booked a ticket with Go First on the 18th of Feb, 2022 for a friend who was travelling the next day. I chose to book on the airline's website instead of a third party. The payment got immediately deducted from my account. But Go Air kept telling us that they haven't received any payment and didn't confirm the PNR. I waited with faith until the next day. In the meanwhile, I was trying to reach them via phone call, I called every phone number of Go First available, none of them responded. I contacted them via Twitter, but they kept giving me hopes that they are looking into the issue. Finally my friend reached the airport and checked at the sales/service counter at Delhi airport. They confirmed that they haven't received any payment and we have to book for the next available flight. Ultimately we booked with another airline, my friend waited for 12 long hours and travelled with another airline. I disputed the payment in my European bank, and since it was Europe, I received my money back after a month. Surprisingly, they deducted the same amount again the very same day, without me trying to do any payment online. Their payment page and internal processes needs a complete revamp.",True,,Solo Leisure,Economy Class,Delhi to Bangalore,February 2022,,,,1,1,,,False
"""unnecessarily troubling their travelers""",1,2022-03-14,"Not Verified |  I booked air tickets from Mumbai to Maldives & my further journey was booked 3 days after from Maldives to Brunei where I work & I had all the required documents including Visa, Travel approvals etc from Brunei & Maldives immigration which I showed to the Mumbai Checkin counter at 8:30am. However the counter crew did not issue me boarding passes stating that I do not have return tickets from Maldives & kept me waiting at the counter along with my kids standing for more than 1 hour. She did not even bothered to give a call to relevant authorities to get the resolution neither entertained my numerous requests. I even tried to get resolution by calling customer care number but even they couldn't resolve it. I have raised official complaint against such  uninformative and arrogant Ground staff on their complaint portal. I had to spend my 80$ in order to book return tickets and then cancel it just to get my boarding passes. The Maldives immigration did not even asked me about any return tickets. Its really shame on such airline for unnecessarily troubling their travelers.",False,,Family Leisure,Economy Class,Mumbai to Male,March 2022,3,3,,1,3,,,False
"""Never taking this airline ever again""",1,2022-03-13,"Absolutely pathetic. I had booked a flight in this airline for the first time and I expected service as I have experienced from the other airlines before. I understand it is mandatory to web check-in before taking flight but the way these guys at go first make it requires you to pay extra for seat selection, which also can't be skipped if you are checking in the night before.. at the time I had tried, the only available seats cost upwards of 900 rupees. I found this really extortionate as I had booked my tickets well in advance to make an economical trip and it didn't make sense for me to end up paying more for it after all. When i arrived at the airport, i was about 40 mins before the scheduled flight take off. The lady at the counter refused to check me in because I hadn't web checked in. There were two companions travelling with me who happened to arrive at the airport just a little earlier than me and even they hadn't done web check-in and they were being denied boarding pass but after a long argument they were able to get the boarding passes for themselves and they were made to pay extra for that. But I was left behind even though there clearly was more than sufficient time to let me in as I didn't even need to check in any luggage. I just needed my boarding pass and i even offered to pay extra for it but they just blankly refused and escorted me out the airport on the level where i couldn't even ask a cab to come pick me as it was at the departure drop off at Chandigarh airport. Imagine my frustration here and all this while I was trying to figure out how to rejoin my travel companions. Researched flights on that day the prices were astronomical and absolutely unaffordable! My point at the end, i accept i reached a few minutes late at the airport, but the web-checkin process is designed to extort more money and it's absolutely unfair and no passenger should have to pay extra for the flight. They say first 100 seats are free. Like should this be a lucky draw? It's ridiculous! Never taking this airline ever again I'm appalled.",True,,Solo Leisure,Economy Class,Chandigarh to Srinagar,March 2022,,,,1,1,,,False
"""Definitely not recommended""",1,2022-03-12,"Unprofessional and rude ground staff· They changed the schedule rendering the entire journey useless, flight was delayed by almost 2 hours and the reason is wrong scheduling and and wrong planning by airline as they said, because of them many had to replan Their further journey, and even I missed my flight from Delhi to Chandigarh. They are so unprofessional, rude staff. Definitely not recommended.",True,,Solo Leisure,Economy Class,Mumbai to Delhi,March 2022,2,2,,1,1,,,False
"""Pathetic customer service""",2,2022-03-10,"Direct flight from Male to Bangalore cancelled and rerouted via Mumbai. This increased our flying time from 2 hours to 9 hours. Incorrectly informed by CSR that we need an RTPCR test, while I had checked on website that it was not needed. Despite my insistence that it was not needed, they said it was. So had to pay $225 to get the RTPCR tests for me and my family. Ultimately it turned out that it was not needed. Pathetic customer service. All they can say is 'sorry for the inconvenience, but we cannot do anything. Please email a complaint'. Even senior GoFirst officials at the airport say the same thing. No assistance to customers at airports. You are essentially left to fend for yourself. They charge for seats in addition to your ticket cost. This is not informed while booking tickets. So be wary of the 'cheap' tickets - there is a hidden cost.",True,,Family Leisure,Economy Class,Male to Bangalore,March 2022,1,1,,1,1,,,False
"""unprofessional and rude ground staff""",1,2022-03-05,Most unprofessional and rude ground staff. The flight has been rescheduled N number of times for which we had to completely replan our journey. I wouldn’t travel for free in this airline.,True,,Couple Leisure,Economy Class,Hyderabad to Goa,March 2022,3,3,,1,1,,,False
"""they changed the schedule rendering the entire journey useless""",1,2022-03-01,Go First flight was booked through and through for a return journey and we had to cancel all the legs of the journey. Can't trust any of its flight remote or otherwise to fly on time on schedule hence I am going to opt out of booking on this flight going forth as there are better flights available at nearly the same or comparable prices as offered by Go First. The reschedule or managing the booking via call center is not that easy either but I believe same is the case probably with all airlines. Also we needed to know if we can continue at least on the second leg of the journey and not utilize the first leg on our own cost on same PNR. This query took a lot of digging from their end and finally they allowed it. After allowing it they changed the schedule rendering the entire journey useless.,True,,Solo Leisure,Economy Class,New Delhi to Ranchi ,March 2022,1,1,,1,2,,,False
"""Overall the flight was okay""",7,2022-02-27,The fares for this particular sector were on the cheaper side and therefore as I had to visit Mumbai I had gone ahead with the booking for this flight however I was also not sure of what to expect with the airline as there were many complaints and also reviews stating that safety norms were not followed and also recently there was a deluge of flight cancellations with the airline. Closer to my travel journey my original flight got cancelled due to which they had allotted me an earlier flight which did cause a slight change in plans but not much. The online check in process was smooth however at the airport for the baggage drop the queues were quite long and the process was not as fast as it should have been. Also the boarding started well ahead of time which was a surprise as we had to rush towards the boarding gate as it was on final call. The flight departed on time and also arrived well ahead of time too. The crew were welcoming during the boarding and deplaning which was good however didn't get much chance to have the meals on board. Overall the flight was okay and the legroom was adequate enough for the duration of the flight. Although certain aspects like managing the check in queues could be handled better.,True,A320 Neo,Couple Leisure,Economy Class,Bengaluru to Mumbai,February 2022,4,4,,4,4,,,True
"""don't pay heed to customers preferences""",1,2022-02-21,"The airline services are pathetic, they don't pay heed to their customers preferences. Regular rescheduling if flights keep us on hooks. And no customer care services at the very least they can do. Changing flight status cost us extra charges.",True,,Couple Leisure,Economy Class,Bangalore to Pune,January 2022,,,,,1,,,False
"""Would never use again""",1,2022-02-19,"The worst airline in the industry. Rescheduled 2 times on the same day. And then delayed by 20 minutes in the middle of the night without prior information. The staff at the boarding counter were late, no phone calls are answered no email responses. Would never use again.",True,,Family Leisure,Economy Class,Pune to Bangalore,February 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Never book Go First flight""",2,2022-02-16,Flight canceled and require to book other airline by paying double charge. Never book Go First flight as they canceled their without any reason. It's worst and third class flight.,True,,Couple Leisure,Economy Class,Surat to Bangalore,February 2022,,,,,1,,,False
"""Worst airline ever""",1,2022-02-16,"Worst airline ever. I booked couple of weeks ago to get a good price. Just few days before the flight, I get a message that my flight is cancelled due to ""issues beyond our control"". I had to book an alternate flight, which is now more than double in cost. Go First made an automated call to inform me about cancellation, but nothing to refund my money immediately. I went to their website, and there is no option for refund even though it does say that my flight is cancelled. I tried the cancel option and they have the guts to charge a cancellation fee. I tried calling them and there was a 20 min waiting period, so I chose the option of them giving me a call back. They did call back, but there was no conversation (maybe due to some mobile network glitch), but they did not make another attempt to reach me. They cancelled the flight, I lose money, I have to figure out alternate options, and I now also have to find ways to reach them to plead for my refund. How ridiculous! Never ever am I booking GoFirst again.",True,,Solo Leisure,Economy Class,Hyderabad to Chennai,February 2022,,,,,1,,,False
"""flight cancel message just 5 days before""",1,2022-02-13,"Flight cancelled just 5 days before the journey. I received my flight cancel message just 5 days before. Flight change option is not good. Again I need to pay extra on flight change, which is not fair. Airlines are cheating common man on sudden cancellation & asking them to pay extra by flight change option",True,,Family Leisure,Economy Class,Chennai to Ahmedabad,February 2022,,,,,1,,,False
"""They are just fooling people""",2,2022-02-12,I booked my flight 2 weeks in advance and just one week before the departure they have cancelled it for no reason. Now if i have to book another flight it cost me 4 times more.  They are just fooling people so we end up paying extra for a different flight who is a sister company of theirs.,True,,Solo Leisure,Economy Class,Hyderabad to Chennai,February 2022,,,,,1,,,False
"""Needs huge improvement in customer service""",1,2022-02-10,"Not Verified |  Cancels flight at last minute saying operation reasons, the main reason being to cut down the cost if they do not get enough passengers. Booked flight tickets twice for Bangalore to Pune, each time one day before the departure date they notify that your flight is cancelled due to operational reasons. Don't know why others are not getting this many operational reasons as Go First. Not travelling with Go First next time even if I have to book costlier tickets with other airlines. If you cancel the tickets at least have guts to also refund convenience fees to customers, lost 1000 bucks on cancelling without any fault of mine. Needs huge improvement in customer service.",False,,Solo Leisure,Economy Class,Bangalore to Pune,February 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Need to improve overall""",2,2022-02-09,Go First is budget airline but fare is higher than what they have provided us. For low budget airline I have paid double. Customer service is not available and even we are not be able to check flight status online. Web check in is not available for the same flight. Need to improve overall and keep fair as a budget airline.,True,,Solo Leisure,Economy Class,Mumbai to Doha,January 2022,1,1,,2,1,,,False
"""Horrible customer service""",1,2022-01-25,Not Verified | Horrible customer service.  I book my ticket 1 week in advance they cancelled my flight without any reason and they never advice. I get to know while doing in line checking that my flight was cancel. I call the airline they told me they rebooked my ticket for previous flight and they were going to send all the details by email - that never happens. I call from 8am till 12 and they were not picking calls. Finally I talk with one guy and explain the situation. He asked me to wait in line but after waiting for 30 mins in call again the call disconnected. Even after that I tried several times. They never pick my call again.,False,,Business,Economy Class,Cochi to Jaipur,January 2022,,,,,1,,,False
"""cancelled it without giving any reason""",1,2022-01-25,"Not Verified | Go First is totally unprofessional. I booked a flight with them and even called 2 days prior to confirm if it is scheduled and not changed or cancelled and they confirmed it is on time. But at the last a few hours before the flight, they had cancelled it without giving any reason. After putting me on the next flight, that flight is also being postponed. So they are not reliable at all and try to combine passengers from different flights into one. They don't even provide any accomodation or meal even if the flight has been changed by more than 7 hours.",False,,Business,Economy Class,Delhi to Pune,January 2022,,,,1,1,,,False
"""quarantine facility a nightmare""",1,2022-01-23,The quarantine facility arranged by Go First Airlines turned to be a nightmare. They made a group of 6 people settle down in a single room and please note that all of us had mandatory quarantine on arrival. Sub standard hotel with no laundry and plumbing assistance. We had taps that didn't work and not even a soap.,True,,Solo Leisure,Economy Class,Cochin to Riyadh,January 2022,1,3,"<span class=""star fill"">1</span>",2,1,,1,False
"""customer service gives false promises""",1,2022-01-22,One of worst experiences as they cancelled our flight twice within a span of 48 hrs. without giving any proper reason for cancelling it. We planned and booked our travel more than a month in advance because of medical reasons but these guys sent a message just a few days before the travel date stating the flight is cancelled. Their customer service gives false promises. Never ever book your tickets or plan your travel with this airline.,True,,Family Leisure,Economy Class,Hyderabad to Cochin ,November 2021,,,,,1,,,False
"""only thing decent thing was the customer support""",3,2022-01-20,Not Verified |  The only thing decent about this airline experience was the customer support. The flight was cancelled two days after booking. The support staff was easy to reach and provided the necessary information promptly.,False,,Family Leisure,Economy Class,Hyderabad to Chennai,January 2022,1,1,,1,1,,,False
"""The crew was friendly""",10,2022-01-06,"My experience with Go first while coming back from Surat was amazing. I had a problem with the seat about which I had informed the cabin crew, they arranged for a different seat and made sure that my luggage gets relocated to the right seat. The crew was friendly and took great care of me by offering me water without me asking for it.",True,,Solo Leisure,Economy Class,Surat to Kolkata,January 2022,5,5,,5,4,,,True
"""only paid seats are found""",1,2022-01-04,"I boarded Go First Flight G8 345 from COK to BOM on 2nd January 2022. I booked the ticket through Easemytrip.com on 23rd December 2021 and I got an SMS from GoFirst confirming my booking. Neither Go First nor travel agent informed me the requirement of doing web check in 24 hour prior to the time of journey. I tried to do web check in on the date of travel and only paid seats are found. I checked with the Customer Service and I am told that the free seats are available only till 24 hours prior to the time of journey. Hence I am forced to pay Rs. 250/- for the middle seat (8B), though free seats are available. When I reached at Airport, the passenger in front of me and behind me also faced the same issue, but they were misguided by the Customer Service personnel that they would get free seats from the check in counter.  Nowhere we are informed that the additional charges would be levied and the booking is made subject to their terms and conditions.",True,,Solo Leisure,Economy Class,Cochin to Mumbai,January 2022,2,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""They are so unreliable""",1,2022-01-02,They are so unreliable and just cancel the flight and send a nonsensical communication with no instructions to reschedule or refund. Especially during peak travel season this flight can land you in trouble rather than to your Destination!,True,,Family Leisure,Economy Class,Kochi to Bangalore,January 2022,,,,,1,,,False
"""They don’t offer any free seats""",1,2022-01-02,I had very bad experience with Go First airlines today. They are duping people on the name of paid seats. They don’t offer any free seats even they claim available in 24 hrs to departure. Also their customer care is pathetic and rude. I recommend people to avoid travelling through this airlines.,True,,Family Leisure,Economy Class,Kolkata to Pune,January 2022,1,1,,1,1,,,False
"""Worst experience ever""",1,2021-12-27,"Not Verified | Don't ever book Go First flight, they are a big time scam and are into total cheat business. Booked ticket from Cochin to Bangalore and the return on Nov 2nd week for traveling on 30th November and return on 2nd Jan  so that we get the flight at lower cost. We booked it via make my trip. Within a week period prior to travel, at first the airlines people called saying that the ""To"" flight has been cancelled. We asked if the return flight cancelled or not. They confirmed that it will not be. And we had to book another flight at high price. On 27th dec, we got a message from the airlines again saying that the flight from 2nd Jan is also cancelled. Now we have to book another flight for the return. And on top of it we don't in hand get the full refund. The half portion of the while price goes as device charge from the agent.  Don't ever opt for this flight. Worst experience ever.",False,,Couple Leisure,Economy Class,Kochi to Bangalore,December 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Worst customer service""",1,2021-12-25,Flight got canceled twice for the same day without any compensation. Worst customer service. Would not recommend. You're better off with any other airlines,True,,Solo Leisure,Economy Class,Cochin to Pune,January 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""4 flights got cancelled by Go First""",1,2021-12-23,"Our 4 flights got cancelled by Go First. They said it’s national emergency…what they mean national emergency - other flights were available on that day, government also not declared about it. We are going through a lot of financial and mental stress. We paid extra 40k for other flights booking.",True,,Solo Leisure,Economy Class,Pune to Chennai,December 2021,,,,,1,,,False
"""Utterly incompetent and shady""",1,2021-12-23,Not Verified | Had a flight booked with these idiots from Amritsar to Aizwal with a stopover at Delhi for 23rd. They sent me a text message stating that my Amritsar to Delhi flight was canceled. I ended up buying a one way ticket with indigo from Amritsar to Delhi. Reached Delhi to be told that the onward flight to Aizwal is also canceled. Now I'm stranded at Delhi Airport and had to buy another ticket to go back to Amritsar. Utterly incompetent and shady.,False,,Solo Leisure,Economy Class,Amritsar to Aizwal,December 2021,1,1,,1,1,,,False
"""pay extra amount for the free seats""",7,2021-12-22,"Pathetic to pay extra amount for the free seats after already paying the huge amount for tickets. Just because we are doing web checkin before 2 hours, we were asked to pay extra amount as free seats were over. We did not face this kind of problem with any other airline. Why should we pay extra if we do not have any seat preference?",True,,Business,Economy Class,Mumbai to Delhi,September 2021,4,4,"<span class=""star fill"">4</span>",4,4,,4,True
"""pay extra amount for the free seats""",1,2021-12-20,"It's pathetic to pay extra amount for the free seats after already paying the huge amount for tickets. Just because we are doing web checkin before 2 hours, we were asked to pay extra amount as free seats were over. We did not face this kind of problem with any other airline. Why should we pay extra if we do not have any seat preference? It's their duty to provide seats to us.",True,,Couple Leisure,Economy Class,Cochin to Mumbai,December 2021,1,2,,1,1,,,False
"""the flight has been cancelled""",1,2021-12-19,"I booked my flight from Surat to Bengaluru for 18th December 2021 and return on 27th December 2021. The flight was booked one month prior (17th November 2021). The previous day of journey i tried to do web check in and i was not able to do it. It was showing the flight got cancelled. But I did not get any notification about the cancellation. I tried calling their customer care and was told a waiting time of 10 minutes but didn't connect even after waiting for 20 minutes. Tried checking the flight status through customer care to which the reply was ""no information is available on the flight"". Tried installing their app to see what's happening but the app was crashing every time i tried to check the flight status. Note that i even got the itinerary mail saying the flight is confirmed on the previous day of journey. Finally on the day of journey, morning 9 am i again called customer care and finally connected to the executive who coldly replied that the flight has been cancelled. As per them, they tried calling me numerous times and sent multiple mails (none of them i received btw) notifying about the cancellation. Now they've told they'll give full refund for the cancellation which i dont think will happen so smoothly. These people are scamming customers with the tagline of cheapest flights. They are least bothered about the customers and the difficulties we go through to reschedule our journey. Finally i had to book another indigo flight to go ahead with my plans.",True,,Solo Leisure,Economy Class,Surat to Bengaluru,December 2021,,,,,1,,,False
"""extremely rude behaviour""",1,2021-12-18,"The staff at check in was a trainee and could not find on the system that I had purchased extra baggage. Her mentor was extremely rude to me and did not bother checking the system. The call centre could see my purchase on their system but at the airport they refused to check, nor provide any written proof that they will not allow me the extra baggage. Staff told me to talk to call centre, call centre told me to talk to staff. They also lied about rules of whether I can record the conversation, I verified with security. After 3 hours of extremely rude behaviour from the staff I got a refund from their third supervisor.",True,,Solo Leisure,Economy Class,Mumbai to Lucknow,December 2021,2,3,"<span class=""star fill"">1</span>",1,1,,1,False
"""worst domestic carriers in India""",1,2021-12-18,Go First is undoubtedly one of the worst domestic carriers in India. My experience of travelling from Srinagar to Amritsar on 18 Dec-2021 was pathetic. My flight was scheduled at 13:30 PM but the flights was late and schedule timed 1400 pm but flight take off after 2:45 pm. I miss my online booked taxi. Very poor service by go first.,True,,Business,Economy Class,Srinagar to Amritsar,December 2021,3,2,"<span class=""star fill"">1</span>",1,1,,1,False
"""one of the worst domestic carriers""",1,2021-12-16,"Go First is undoubtedly one of the worst domestic carriers in India. My experience of travelling from Delhi to Hyderabad on 15-Dec-2021 was pathetic.  My flight was scheduled at 7:20 AM but the Final call announcement was done by the airline at 6:30 AM itself. It made me skip my breakfast in the lounge and run all the way with my wife to the boarding gate. When asked, the uncourteous reason GoFirst quoted was that they had about 85% boarding done already hence they made the final call early. Ironically the flight departed 5 mins late from Delhi. On the other hand, these folks would have definitely denied boarding if a passenger would have been late even by a minute. The bus to the aircraft was completely full putting social distancing on joke. Even after passengers complained that the bus was overcrowded, the staff was least bothered and gave a deaf ear to it. While boarding the aircraft one of the ground staffs clearly misbehaved with folks who complained about the bus situation. They made people stand unnecessarily near the aircraft and allowed boarding only after a lot of noise.",True,,Couple Leisure,Economy Class,Delhi to Hyderabad,December 2021,2,2,,1,1,,,False
"""they wouldn't let us board""",1,2021-12-12,"We had a bitter experience because they wouldn't let us board on our flight which was scheduled Monday at 9;15am and we were 2mins late for boarding which was at 8;30. While we already had online boarding pass, they could have at least inquired us about it and done but we had to pay extra 3.5k for each passenger and book our next flight again which was disappointing. It was not like the flight has left, there was still 45min time but we received no help from the people there. While returning back our flight was delayed for an hour and we had to wait. So while we are trying to be understanding they should be more helpful as well as because of that our whole plan has been spoiled and we had to rebook everywhere",True,,Family Leisure,Economy Class,Bangalore to Patna,December 2021,1,2,,3,1,,,False
"""Third class service""",1,2021-12-08,Not Verified | Third class service. All flight on 8th December are delayed. No one give the proper explanation regarding delay. Crew members are hopeless. Book another airline for your journey. Travelling with go First is waste of time and waste of money,False,,Business,Economy Class,Ranchi to Pune via Bangalore,November 2021,1,1,,1,1,,,False
"""never travel again with this airline""",1,2021-11-28,"This is the first time I am travelling with gGo First and a day before they have rescheduled flight late by 2 hours and on the same before 1 hour of boarding they have again rescheduled it late by 1 hour. I have wasted three hours of mine with this airline. I will never travel again with this airline, neither I would suggest anyone. It will be late night 1 for reaching Hyderabad and transportation will also be charged high. Waste service.",True,,Solo Leisure,Economy Class,Kolkata to Hyderabad,November 2021,1,1,,1,1,,,False
"""cancelled both their flights""",1,2021-11-27,"I have booked both onward and return journey with Go first airlines well before 2 months advance. But just one day before the journey, they have cancelled both their flights. This has caused tremendous pressure on me.",True,,Family Leisure,Economy Class,Hyderabad to Chandigarh,November 2021,,,,,1,,1,False
"""Worst experience I ever had on an airline""",3,2021-11-24,"Not Verified |  Worst experience I ever had on an airline. No system of web check-in, its forcefully asking for additional charges. Inflight no attention paid to provide a water at least? I had corporate meal booking however none asked for the same. I wish to never travel with Go First in the future.",False,,Business,Economy Class,Chandigarh to Mumbai,November 2021,2,1,"<span class=""star fill"">1</span>",1,4,,1,False
"""Never book a flight with this airline""",1,2021-11-22,"Not Verified |  The worst airline. Our flight was at 9pm and we arrived at 8.10. They didn't let us board even though we got a message from Go First that we need to arrive 25 minutes prior to the departure time. This is the message we received - ""Dear Go First Flyer, your flight G8-404 from DEL to VNS shall be boarding from gate 32. Boarding gate closes 25 mins prior to departure time"". Their way of speaking was very rude even though I was literally begging them to let us go this one time. Never book a flight with this airline.",False,,Family Leisure,Economy Class,Bangalore to Delhi,November 2021,1,1,,1,1,,,False
"""the worst service I've seen so far""",1,2021-11-14,I booked to fly a Go First flight for the first time and it was the worst experience ever. Never going to book again and I'll suggest the same to my friends. I'll explain the issue that I had: I booked the morning flight from Jaipur to Bangalore on 11th November and it got postponed. So now my flight was at 9.15pm and arrival time was 12am. Bangalore Airport is 40km away from the main city and lots of crimes has already been happened between. So I wanted to postpone the flight for some other day but sadly no-one picked my call. Waited on the line for more than 10 mins (3-4 times) and then asked for a callback. But didn't get any call. This is the worst service I've seen so far.,True,,Solo Leisure,Economy Class,Jaipur to Bengaluru,November 2021,2,2,,1,2,,,False
"""a very bad free seat""",1,2021-11-14,"Not Verified |  Worst experience ever. This was my first trip with Gofirst. I had booked my seats while booking the ticket itself. These were paid ones & were confirmed by the Gofirst team too. Later during web check-in, they randomly allotted me to a very bad free seat. I reached the airport counter for check-in in hopes of getting it corrected even though I didn't have any check-in bag. The agent there very rudely denied my word and said I hadn't paid for it. They wouldn't do anything. I called customer care later and they had the same attitude towards my problem.",False,,Business,Economy Class,Ahmedabad to Jaipur,November 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""didn’t let us board the flight""",1,2021-11-10,"By far one of the worst airlines in terms of staff, check in, bag drop and boarding. They didn’t let us board the flight by merely 2 minutes and this has been one of my worst experience ever. The flight is delayed and yet was asked to return. Will never recommend traveling by this airline ever again.",True,,Couple Leisure,Economy Class,Goa to Mumbai,November 2021,,,,1,1,,,False
"""Very pathetic experience""",1,2021-11-08,"Very pathetic experience. I would never recommend anyone to travel wit hGo First flight. Flight was originally scheduled to depart from BLR at 14:00 hours and it was 1st rescheduled to depart at 16:20 hours and the information for which given well in advance which is quite manageable and 2nd time it was rescheduled to depart at 17:20 and the information of which provided on the date of journey i.e before 4 hrs and this quite difficult to manage but somehow we manage to adjust the inconvenience and again the flight was rescheduled 3rd time to depart at 18:30, the information of which is provided at 16:00 hours which is very late and very painful service from Go first.",True,,Family Leisure,Economy Class,Bangalore to Kolkata,November 2021,1,1,,1,1,,,False
"""one of the worst airlines to travel with""",1,2021-11-08,"This is one of the worst airlines to travel with. So here goes the story. My mother who was traveling alone from Lucknow to Pune, we had her bookings done, so the flight was from Lucknow to Bangalore then Bangalore to Pune. First they delayed the flight, then they cancelled the flight to Pune and for all the passengers who were traveling to Pune were asked to be dropped off in Mumbai without any facilities given to them for the Pune drop off. They just rudely said either you take this or walk out. My mother alone would be traveling from Mumbai without any security. We had our chatt puja start today, she had to start her fast from tomorrow for three days which makes it a four day fast because of this pathetic airlines services.",True,,Family Leisure,Economy Class,Lucknow to Pune via Bangalore,November 2021,1,1,,1,1,,,False
"""I won’t recommend it to anybody""",2,2021-11-07,This is the worst airline. I won’t recommend it to anybody. It was compulsory to pay for the seat tickets even after paying for the entire ticket. The rules are written something else and they are stating something different. Customer value zero. almost all seats were showing unavailable and the ones available had to be paid. Never choose this airline,True,,Family Leisure,Economy Class,Port Blair to Kolkata,November 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
""" Very worst experience""",1,2021-11-03,Not Verified |  Very worst experience in this flight. This is my first journey with Go First airline. First massage come before 2 days for rescheduling of flight by 1hr . And second message come on the day of flight rescheduled by 1hr 40min before 2hrs. Almost waiting time is 4hrs waste. I'll never book again in GoFirst. Very worst experience,False,,Solo Leisure,Economy Class,Ahmedabad to Delhi,November 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Never book with this airline""",1,2021-10-30,"Not Verified |  Never book with this airline. I booked a flight with this airline for myself and family members in 3 months advance. Just 10 days prior to the departure, I received an email stating that the airline has canceled the flight. So I had to book that same route flight almost 3 times costlier than the previously booked one. Never Book flight with this airline.",False,,Family Leisure,Economy Class,Indore to New Delhi,October 2021,1,1,,1,1,,,False
